"","spp","sex","SV_length","weight"
"614","PHMO","F",55,18
"615","CNTI","M",91,11
"616","CNTI","M",65,6
"617","HOMA","F",50,4
"618","CNNE","F",63,10
"619","CNNE","F",49,8
"620","HOMA","F",54,7
"621","HOMA","F",59,9
"622","HOMA","M",55,5
"623","HOMA","F",61,10
"624","CNIN","M",52,3
"625","EUOB","F",75,9
"626","PHCO","F",58,12
"627","CNTE","F",64,8
"628","PHMO","F",44,5
"629","CNTI","M",71,12
"630","CNIN","M",41,3
"631","SCUN","M",52,4
"632","PHMO","M",50,5
"633","CNIN","F",60,4
"634","HOMA","F",52,7
"635","CNNE","F",60,7
"636","CNTI","F",63,6
"637","COTE","M",40,5
"638","COTE","F",54,5
"639","CNIN","F",55,4
"640","CNTI","M",85,26
"641","UTST","F",38,4
"642","CNTI","M",74,14
"643","CNTE","F",75,24
"644","CNNE","F",30,1
"645","UTST","F",32,2
"646","CNTI","F",80,18
"647","CNTI","M",75,15
"648","CNIN","F",56,3
"649","CNTE","F",75,12
"650","UTST","M",41,3
"651","CNIN","M",56,4
"652","UTST","F",43,3
"653","UTST","M",50,5
"654","UTST","F",45,3
"655","UTST","M",52,6
"656","UTST","M",50,6
"657","UTST","M",54,6
"658","UTST","M",53,6
"659","UTST","M",32,2
"660","UTST","F",43,2
"661","UTST","F",37,2
"662","UTST","F",44,3
"663","UTST","M",40,2
"664","UTST","M",50,4
"665","UTST","M",50,5
"666","UTST","F",30,2
"667","UTST","M",46,4
"668","UTST","F",45,3
"669","UTST","M",48,5
"670","UTST","M",43,4
"671","UTST","F",38,3
"672","UTST","M",45,5
"673","UTST","F",34,2
"674","UTST","F",43,4
"675","UTST","F",33,3
"676","UTST","F",45,3
"677","UTST","M",37,2
"678","UTST","M",48,5
"679","UTST","F",38,2
"680","UTST","F",44,3
"681","UTST","M",37,2
"682","UTST","F",45,3
"683","UTST","F",50,5
"684","UTST","F",45,5
"685","UTST","M",40,3
"686","UTST","F",42,3
"687","UTST","F",48,5
"688","UTST","F",40,3
"689","UTST","M",38,2
"690","UTST","F",33,2
"691","UTST","M",37,2
"692","UTST","F",39,2
"693","UTST","F",40,4
"694","SCUN","F",41,4
"695","UTST","M",40,3
"696","UTST","M",51,5
"697","UTST","M",52,5
"698","HOMA","F",35,2
"699","UTST","M",48,4
"700","UTST","F",45,3
"701","CNIN","M",45,3
"702","UTST","M",47,5
"703","SCUN","M",43,3
"704","CNIN","M",47,3
"705","HOMA","F",55,5
"706","CNTI","M",60,9
"707","PHCO","F",57,10
"708","UTST","M",55,5
"709","SCUN","F",48,3
"710","UTST","F",47,3
"711","CNIN","F",54,4
"712","UTST","F",45,2
"713","UTST","M",50,4
"714","UTST","F",41,2
"715","CNIN","F",36,1
"716","CNTE","F",73,22
"717","UTST","M",70,2
"718","UTST","M",37,1
"719","UTST","M",35,1
"720","UTST","F",40,1
"721","UTST","F",45,2
"722","UTST","F",40,2
"723","UTST","M",48,5
"724","UTST","M",50,4
"725","UTST","F",43,4
"726","UTST","F",36,1
"727","UTST","M",43,4
"728","UTST","F",33,2
"729","UTST","F",28,1
"730","UTST","M",48,3
"731","UTST","F",36,2
"732","UTST","F",40,2
"733","UTST","F",30,1
"734","UTST","M",53,4
"735","UTST","F",47,2
"736","UTST","F",48,4
"737","UTST","F",41,3
"738","UTST","M",48,4
"739","UTST","F",45,4
"740","UTST","M",41,4
"741","SCUN","M",58,7
"742","CNIN","M",45,2
"743","UTST","M",48,5
"744","UTST","F",45,3
"745","UTST","M",46,5
"746","UTST","F",38,2
"747","UTST","F",47,4
"748","UTST","M",35,3
"749","UTST","M",53,6
"750","HOMA","F",40,2
"751","CNIN","M",42,2
"752","CNIN","M",45,3
"753","SCUN","M",35,2
"754","UTST","F",43,3
"755","UTST","F",32,1
"756","UTST","M",52,5
"757","UTST","F",47,3
"758","HOMA","F",60,7
"759","CNIN","F",42,3
"760","PHCO","F",97,61
"761","CNIN","M",45,5
"762","HOMA","M",50,5
"763","CNIN","M",43,3
"764","CNNE","F",72,8
"765","UTST","F",50,4
"766","CNTI","M",58,5
"767","HOMA","F",54,4
"768","CNTI","M",80,14
"769","HOMA","M",56,6
"770","CNTE","F",72,14
"771","CNUN","F",62,6
"772","UTST","M",35,1
